Learning Site,Location,Partners/Owners,Ecological Focus,Economic Activities,Restoration Strategies,Key Achievements,Source
Woodland Valley Farm,"Ladock, Cornwall, UK",Chris & Janet Jones; Felicity Jones,Low carbon organic farming; carbon sequestration; watershed flood prevention; biodiversity restoration; soil health.,Organic beef and pork production; eco-tourism and accommodation; hosting weddings; cider and apple cider vinegar; educational outreach.,Mob-stocking (rotational grazing); Cornwall Beaver Project for flood mitigation; agro-forestry (nut trees); switching from annual to perennial crops.,Achieved negative carbon footprint (sequestrating 353 tonnes net in 2010-2011); long-term member since 2009; hosts 600+ schoolchildren annually.,1-9
Hannacroix Creek (Hannacroix Bay),"New Baltimore, Hudson Valley, New York, USA",Barbara Heinzen & Eric Remillard,Restoration of freshwater tidal swamp forest; watershed protection; maximizing wild biodiversity; remediating polluted industrial habitats.,"Testing ""enterprise stacking"" and tradable biodiversity indices; independent planning consultancy; controlled deer hunting.","Invasive species management (Japanese stilt grass, multiflora rose); replanting native species (swamp roses, winterberry); monitoring fauna (beavers, turtles).",First North American site (2010); resurgence of 49 bird species; successful community mobilisation and political intervention for environmental laws.,"1, 3-7, 10-13"
Molo (Magode Farm),"Near Tororo, Eastern Uganda",James Magode Ikuya,Restoration of Mount Elgon watershed and Kagninima stream; reforestation of swamp and stream banks.,"Fish farming (tilapia/catfish); bee-keeping; oil seeds (castor, Kabaka njagala); fruit growing; proposed eco-tourism.",Replanting indigenous trees along 21km of stream; building dams and channels for water storage; recycling rice plants as biofuel.,Established Molo Rural Agricultural Farming Initiative (MRAFI); hosted 2016 'Coming of Age' Convention; recovered fish ponds after robbery and fire.,"1, 3-8, 14-16"
Lukenya (Zumula Farm),"50 km outside Nairobi, Kenya",Sammy Muvelah,Restoration of dry rangeland and rocky hillside habitats; reforestation.,"Eco-tourism (guest house and golf range); goat farming; woodlots for fuel and food (acacia, moringa).",Water harvesting from rock faces into constructed dams; developing year-round water supply; establishing tree nurseries for indigenous species.,Achieved year-round water security in arid conditions; proved goat farming profitability over maize; neighbors began replicating restoration techniques.,"3-7, 11, 17"
Seme,"Near Kisumu, Shores of Lake Victoria, Kenya",Oby & Hilda Obyerodhyambo,"Restoration of over-cropped/over-grazed land; watershed protection; indigenous tree and ""sacred grove"" conservation.","Tissue culture bananas; greenhouse tomatoes; pig and goat husbandry; selling seedlings; high-value cash crops (onions, watermelons).",Water harvesting and drip irrigation; replacing maize with traditional sorghum/pumpkins; planting medicinal and indigenous trees.,Achieved food sustainability; successfully engaged and trained local youth in animal husbandry; preserved traditional medicinal knowledge.,"3-7, 17"
Msichoke Seaweed Growers Cooperative (Mlingotini),"Mlingotini Village, Bagamoyo, Tanzania",Mwajuma Masaiganah & Seaweed Farmers,Protection of mangroves and coastal lagoon biodiversity; mitigating storm impacts.,Seaweed farming; production of seaweed soap and shampoo; honey production; eco-tourism trips.,Active mangrove planting to improve fish breeding and water quality; using seaweed farms to reduce wave impact.,Successful value-addition through soap production; established a credit union for members; products confirmed for medicinal properties.,"3-7, 9, 16, 18"
Mwasama Primary School (Shamba Darasa),"Bagamoyo, Tanzania",Mwajuma Masaiganah,Environmental education; restoration through botanical collection of native trees and plants.,"School produce sales (vegetables, sugar cane, fruit); poultry and egg production; agricultural training.","Using the ""Garden Classroom"" for hands-on planting; planting mango, palm, teak, and bamboo; creating catfish ponds for fertiliser.",School is nearly food self-sufficient; integrated environmental restoration into the primary curriculum; considered a model inspiration site.,"3, 5, 9, 11, 16, 18-20"
Himo,"Himo, near Moshi, Tanzania",Rose Lyimo & Hans Mtika,Recovery of soil fertility; preservation of native and medicinal plant species in urbanising areas.,"Traditional shamba farming (bananas, maize, beans); piggery; marketing of medicinal plants and timber.",Permaculture; utilisation of customary Chagga irrigation canal systems; joint management with local caretakers.,Hosted the 2012 Convention; transitioned a bare building site into a productive shamba; Rose Lyimo provides micro-lending expertise.,"3, 5, 18, 19, 21"
Sikia Community Dam Project,East Africa (Kenya/Tanzania/Uganda border),Village and farmers’ cooperatives,Water harvesting and climate resilience.,Conversion of restoration into economic opportunity; women's empowerment through water access.,Real-time planning using geospatial tools like Felt; creating knowledge centres for water resilience.,Empowerment of women; creation of knowledge centres; establishment of measurable outcomes for water harvesting.,1
Arboretum Kajokoby,East Africa,Village and farmers’ cooperatives,Agroforestry and biodiversity hotspots.,Urban farming; tree nurseries; fruit forests; bee-keeping.,Documenting tree nurseries; futures-enabled dialogue between pastoralists and farmers.,Hosting of a milestone event in 2023; integration of pastoral and agricultural land use priorities.,1
Cichlid Breeding,"Dar es Salaam, Tanzania",Hans Mtika,Maintaining wild fish stocks in Rift Valley Lakes; preventing fishery collapse.,"Collecting, breeding, and exporting Rift Valley cichlid fish to international collectors.",Moving from an extractive model to a breeding model; training local divers in sustainable harvesting.,Construction of a specialized breeding facility; professionalised the local aquarium trade via licensing.,"5, 18"
Rufiji,"Rufiji area, Tanzania",Rose Lyimo,Carbon sequestration and forest protection.,Eco-tourism.,Replanting forest species and protecting existing stands.,Proposed expansion into high-value carbon market experimentation.,"7, 22"
Nkoroi,"Outside Nairobi, Kenya",Oby & Hilda Obyerodhyambo,Environmental restoration.,Not in source,Trial and error method to restore ecological function.,Hosted the 2010 Partners Meeting; site of the 2016 debrief.,"3, 4, 21"
